D:\Ensayos V?ctor\Test Run 8 28-03-2019 13 07 07\DAQ- Crosshead; ? - (Timed).txt
Test: ENSAYOS TRACCION PLA 1
Test Run: Test Run 8
Date: 28/03/2019 12:58:13


Crosshead 	Load 	Time 		Carga Maxima	
mm	kN	sec		2,163396729	
0,000203451	0,004483418	0,111000001			
0,000559489	0,004508166	0,210999995			
0,001017253	0,004614374	0,31099999			
0,001576742	0,004814559	0,411000013			
0,002034505	0,004876948	0,510999978			
0,002492269	0,0049869	0,611000001			
0,00289917	0,005183816	0,711000025			
0,003407796	0,005485342	0,81099999			
0,003967285	0,00596252	0,911000013			
0,004628499	0,006318694	1,011000037			
0,005391439	0,006882696	1,110999942			
0,006205241	0,006524478	1,210999966			
0,007069906	0,006600486	1,31099999			
0,007883708	0,006897735	1,411000013			
0,008748372	0,007393895	1,511000037			
0,009562174	0,008323042	1,610999942			
0,010426839	0,009578958	1,710999966			
0,011291504	0,009714119	1,81099999			
0,012105305	0,010148969	1,911000013			
0,012919108	0,010398932	2,010999918			
0,013783772	0,010578423	2,111000061			
0,014597576	0,01056122	2,210999966			
0,015411377	0,011002492	2,311000109			
0,01622518	0,011457099	2,411000013			
0,017038981	0,011569675	2,510999918			
0,017852783	0,012109234	2,611000061			
0,018666586	0,012637035	2,710999966			
0,019480387	0,013023898	2,811000109			
0,020345053	0,013118989	2,911000013			
0,021158854	0,013541171	3,010999918			
0,021972657	0,013900461	3,111000061			
0,022786458	0,014165692	3,210999966			
0,023651122	0,01438861	3,311000109			
0,024464925	0,014694477	3,411000013			
0,025329589	0,014807505	3,510999918			
0,026143392	0,015172763	3,611000061			
0,026957194	0,015374987	3,710999966			
0,027821859	0,016068481	3,811000109			
0,028635661	0,016324186	3,911000013			
0,029500326	0,016744459	4,011000156			
0,03036499	0,017445051	4,111000061			
0,031178792	0,01797731	4,210999966			
0,032043456	0,018944914	4,31099987			
0,032908123	0,019820978	4,410999775			
0,033721924	0,020637157	4,511000156			
0,034586588	0,021681683	4,611000061			
0,035451252	0,022873476	4,710999966			
0,03631592	0,02444729	4,81099987			
0,037129717	0,025975376	4,910999775			
0,037943522	0,027423836	5,011000156			
0,038808186	0,028939093	5,111000061			
0,039621991	0,030552683	5,210999966			
0,040486651	0,031904438	5,31099987			
0,041300456	0,033621731	5,410999775			
0,042114258	0,035214706	5,511000156			
0,042928059	0,036590473	5,611000061			
0,043792723	0,038202045	5,710999966			
0,044606524	0,039723248	5,81099987			
0,045420329	0,041392769	5,910999775			
0,046284993	0,043036808	6,011000156			
0,047098798	0,044389183	6,111000061			
0,047963458	0,046168236	6,210999966			
0,048777263	0,047737328	6,31099987			
0,049641927	0,049249771	6,410999775			
0,050455732	0,051040955	6,511000156			
0,051320392	0,052532257	6,611000061			
0,052134197	0,054155117	6,710999966			
0,052998861	0,055871342	6,81099987			
0,053812662	0,057346172	6,910999775			
0,054677326	0,058969032	7,011000156			
0,055491131	0,06044244	7,111000061			
