Material;LH;IP;ID;PS;Load.max
Virgin;0.15;Tri-hex;60;40;2,20644750976563
Virgin;0.3;Tri-hex;60;80;2,16303027343750
Virgin;0.15;Grid;60;80;2,23989746093750
Virgin;0.3;Grid;100;80;3,59799438476563
Virgin;0.3;Tri-hex;100;40;3,62035864257813
Virgin;0.15;Tri-hex;100;80;3,81125292968750
Virgin;0.15;Grid;100;40;3,79335424804688
Virgin;0.3;Grid;60;40;2,16010000000000
Recycled;0.15;Tri-hex;60;40;2,16339672900000
Recycled;0.3;Tri-hex;60;80;2,16333984375000
Recycled;0.3;Grid;60;40;2,15157641601563
Recycled;0.15;Tri-hex;100;80;3,37927783203125
Recycled;0.3;Tri-hex;100;40;3,37044702148438
Recycled;0.15;Grid;60;80;2,05051782226563
Recycled;0.15;Grid;100;40;3,52530395507813
Recycled;0.3;Grid;100;80;3,48760400390625
