Material;Orientation;Load.max
Virgin;Edgewise;1,74782312011719
Virgin;Edgewise;1,76582043457031
Virgin;Edgewise;1,73042687988281
Virgin;Edgewise;1,70450268554688
Virgin;Edgewise;1,75393383789063
Virgin;Horizontal;1,95897631835938
Virgin;Horizontal;1,98367822265625
Virgin;Horizontal;2,01473364257813
Virgin;Horizontal;2,00778637695313
Virgin;Horizontal;2,05746484375000
Virgin;Vertical;1,54793469238281
Virgin;Vertical;1,44665563964844
Virgin;Vertical;1,53372607421875
Virgin;Vertical;1,48976159667969
Virgin;Vertical;1,50960742187500
Recycled;Edgewise;1,65676940917969
Recycled;Edgewise;1,62613110351563
Recycled;Edgewise;1,57950244140625
Recycled;Edgewise;1,65569433593750
Recycled;Edgewise;1,60004553222656
Recycled;Horizontal;1,80118811035156
Recycled;Horizontal;1,86198669433594
Recycled;Horizontal;1,84000000000000
Recycled;Horizontal;1,88405285644531
Recycled;Horizontal;1,84106188964844
Recycled;Vertical;1,36574511718750
Recycled;Vertical;1,31233215332031
Recycled;Vertical;1,23253576660156
Recycled;Vertical;1,30780834960938
Recycled;Vertical;1,33266564941406
