Phase;Type material;LH;IP;ID;PS;Sample;Sample name;Young;Load.max;Tensile.max
Fase I;PLA reciclado;0.15;Tri-hex;60;40;RE-1;RE-1.txt;580,9949638139409;2,16339672900000;33,2830266000000
Fase I;PLA reciclado;0.3;Tri-hex;60;80;RE-2;RE-2.txt;114,7653850187919;2,16333984375000;33,2821514423077
Fase I;PLA reciclado;0.15;Grid;60;80;RE-3;RE-3.txt;274,5456015471865;2,15157641601563;33,1011756310097
Fase I;PLA reciclado;0.3;Grid;100;80;RE-4;RE-4.txt;193,5549215455801;3,37927783203125;51,9888897235577
Fase I;PLA reciclado;0.3;Tri-hex;100;40;RE-5;RE-5.txt;22,5496816957806;3,37044702148438;51,8530310997597
Fase I;PLA reciclado;0.15;Tri-hex;100;80;RE-6;RE-6.txt;99,5760091275542;2,05051782226563;31,5464280348559
Fase I;PLA reciclado;0.15;Grid;100;40;RE-7;RE-7.txt;103,1089852715126;3,52530395507813;54,2354454627405
Fase I;PLA reciclado;0.3;Grid;60;40;RE-8;RE-8.txt;269,4964726046900;3,48760400390625;53,6554462139423
Fase I;PLA virgen;0.15;Tri-hex;60;40;VE-1;VE-1.txt;514,0544164464953;2,20644750976563;33,9453463040866
Fase I;PLA virgen;0.3;Tri-hex;60;80;VE-2;VE-2.txt;440,7783028540740;2,16303027343750;33,2773888221154
Fase I;PLA virgen;0.3;Grid;60;40;VE-3;VE-3.txt;495,2230294261187;2,23989746093750;34,4599609375000
Fase I;PLA virgen;0.15;Tri-hex;100;80;VE-4;VE-4.txt;96,0413539830530;3,59799438476563;55,3537597656251
Fase I;PLA virgen;0.3;Tri-hex;100;40;VE-5;VE-5.txt;229,4902709236874;3,62035864257813;55,6978252704328
Fase I;PLA virgen;0.15;Grid;60;80;VE-6;VE-6.txt;376,6595295427735;3,81125292968750;58,6346604567308
Fase I;PLA virgen;0.15;Grid;100;40;VE-7;VE-7.txt;311,6053296179889;3,79335424804688;58,3592961237982
