Material;Infill Density (%);Max Load (kN);Tensile Strength (MPa)
Virgin;100;3,28940063476563;50,6061636117789
Virgin;40;1,87192797851563;41,4143358078679
Virgin;55;1,97978735351563;39,4773151249378
Virgin;70;2,14508715820313;38,9308014192946
Virgin;85;2,29569018554688;38,2296450549022
Recycled;100;3,02975708007813;46,6116473858174
Recycled;40;2,14508715800000;47,4576804867257
Recycled;55;1,93454138183594;38,5751023297296
Recycled;70;2,08284106445313;37,8011082477882
Recycled;85;2,24160034179688;37,3288982813802
