Material;Orientation;Max Load (kN);Tensile Strength (MPa)
Virgin;Edgewise;1,74782312011719;36,0375901055091
Virgin;Edgewise;1,76582043457031;36,4086687540270
Virgin;Edgewise;1,73042687988281;35,6789047398518
Virgin;Edgewise;1,70450268554688;35,1443852690078
Virgin;Edgewise;1,75393383789063;36,1635842864047
Virgin;Horizontal;1,95897631835938;40,3912642960697
Virgin;Horizontal;1,98367822265625;40,9005819104381
Virgin;Horizontal;2,01473364257813;41,5408998469718
Virgin;Horizontal;2,00778637695313;41,3976572567656
Virgin;Horizontal;2,05746484375000;42,4219555412371
Virgin;Vertical;1,54793469238281;31,9161792243878
Virgin;Vertical;1,44665563964844;29,8279513329575
Virgin;Vertical;1,53372607421875;31,6232180251289
Virgin;Vertical;1,48976159667969;30,7167339521586
Virgin;Vertical;1,50960742187500;31,1259262242268
Recycled;Edgewise;1,65676940917969;34,1601940037050
Recycled;Edgewise;1,62613110351563;33,5284763611470
Recycled;Edgewise;1,57950244140625;32,5670606475515
Recycled;Edgewise;1,65569433593750;34,1380275451031
Recycled;Edgewise;1,60004553222656;32,9906295304445
Recycled;Horizontal;1,80118811035156;37,1378991825064
Recycled;Horizontal;1,86198669433594;38,3914782337307
Recycled;Horizontal;1,84107958984375;37,9604039143041
Recycled;Horizontal;1,88405285644531;38,8464506483569
Recycled;Horizontal;1,84106188964844;37,9600389618235
Recycled;Vertical;1,36574511718750;28,1596931378866
Recycled;Vertical;1,31233215332031;27,0583949138208
Recycled;Vertical;1,23253576660156;25,4131085897229
Recycled;Vertical;1,30780834960938;26,9651206105027
Recycled;Vertical;1,33266564941406;27,4776422559600
